date,time,team2,score1,score2
13.09.2024,18:00,Морские Волки,4,0
20.09.2024,19:00,ВКА им. А.Ф.Можайского,10,4
27.09.2024,19:00,СПбГУ,7,2
10.10.2024,18:15,Михайловские Медведи,5,0
18.10.2024,19:00,Динамо СПБГЭУ,6,4
25.10.2024,19:00,Северные Сапсаны,5,1
31.10.2024,19:00,Северные Сапсаны,3,2
08.11.2024,19:00,Невские Львы,5,2
14.11.2024,19:00,Невские Львы,4,3
11.12.2011,22:15,Спартак,1,1
23.01.2012,09:30,СПбГМУ,8,1
25.01.2012,10:30,СПГКФЭТ,3,6
26.02.2012,22:30,Лисы,8,4
04.03.2012,22:30,Невские Львы,2,0
11.03.2012,22:30,Горняк,21,1
18.03.2012,22:30,Комбат,5,0
25.03.2012,22:30,Волки ЛТУ,3,7
01.04.2012,22:30,ИНЖЭКОН,5,0
08.04.2012,22:30,Военмех,3,3
23.11.2012,21:30,КФКиСЭТ СПбГУ,2,4
30.11.2012,21:30,Военмех,7,0
08.12.2012,21:00,Невские Львы,8,3
10.02.2013,21:45,Университет Лесгафта,3,2
16.02.2013,19:30,ИНЖЭКОН,15,2
23.02.2013,19:30,Волки ЛТУ,5,0
09.03.2013,19:30,КФКиСЭТ СПбГУ,2,4
16.03.2013,19:30,Невские Львы,4,2
23.03.2013,19:30,Военмех,7,3
26.03.2013,19:30,ИНЖЭКОН,5,0
13.04.2013,19:30,Университет Лесгафта,3,1
20.04.2013,19:30,Волки ЛТУ,7,4
14.05.2013,21:30,Университет Лесгафта,0,1
17.05.2013,21:15,Университет Лесгафта,3,4
25.05.2013,19:15,КФКиСЭТ СПбГУ,3,5
26.05.2013,17:30,КФКиСЭТ СПбГУ,3,2
04.11.2013,19:45,СПбГУ,5,6
10.11.2013,15:00,Бончевские Тигры,21,1
16.11.2013,20:00,Невские Львы,6,2
19.11.2013,22:00,Морские Волки,17,1
25.11.2013,20:15,Кронверкские Барсы,8,2
04.12.2013,21:30,Университет Лесгафта,1,2
07.12.2013,18:30,СПбГУ,5,6
16.03.2014,17:30,СПбГУ,1,3
10.04.2014,22:00,Лисы,7,1
13.04.2014,19:45,Горняк,5,1
27.04.2014,21:30,Невские Львы,6,0
03.05.2014,17:00,СПбГУ,2,2
08.05.2014,20:00,Лисы,5,0
10.05.2014,17:00,Горняк,6,1
11.05.2014,17:00,Невские Львы,6,2
14.05.2014,20:45,Волки ЛТУ,1,0
22.05.2014,19:00,Волки ЛТУ,1,4
06.04.2015,19:00,ВИФК,6,4
11.04.2015,21:30,Ураган 98,3,1
13.04.2015,08:00,Северные Рыси,11,1
18.04.2015,19:30,Ураган 98,8,0
26.04.2015,07:45,Кронверкские Барсы,10,0
27.04.2015,10:00,ВИФК,4,2
04.05.2015,08:15,Кронверкские Барсы,13,2
12.05.2015,23:15,Лисы,1,4
18.05.2015,08:15,Северные Рыси,9,4
24.05.2015,14:00,Лисы,3,1
04.06.2015,07:45,Лисы,3,6
19.10.2015,08:15,Стальные Грифоны,6,2
31.10.2015,22:30,Северные Рыси,9,3
14.11.2015,22:30,Волки ЛТУ,4,3
21.11.2015,22:30,Волки ЛТУ,1,3
28.11.2015,22:30,Волки ЛТУ,2,3
05.12.2015,22:30,Лисы,2,6
14.12.2015,20:00,Невские Львы,3,1
24.12.2015,08:00,Невские Львы,2,3
14.02.2016,22:30,СПбГУ,9,2
21.02.2016,22:30,Стальные Грифоны,5,2
28.02.2016,22:30,Стальные Грифоны,6,1
05.03.2016,22:30,Кронверкские Барсы,6,2
06.03.2016,22:30,СПбГУ,7,0
13.03.2016,22:30,Волки ЛТУ,2,4
20.03.2016,22:30,Университет Лесгафта,2,1
26.03.2016,22:30,Кронверкские Барсы,5,1
27.03.2016,22:30,Волки ЛТУ,2,3
03.04.2016,22:30,Лисы,3,2
08.04.2016,12:15,Университет Лесгафта,0,1
10.04.2016,22:30,Лисы,2,5
14.04.2016,19:00,Лисы,1,2
17.04.2016,22:30,Лисы,5,2
01.05.2016,22:30,Лисы,3,4
22.05.2016,22:30,Невские Львы,4,3
20.10.2016,12:30,ГУАП Метеор,4,3
22.10.2016,09:30,Кронверкские Барсы,4,1
17.11.2016,08:30,Университет Лесгафта,0,2
21.11.2016,07:30,Университет Лесгафта,3,9
03.12.2016,21:30,Северные Сапсаны,3,4
23.02.2017,13:00,Северные Сапсаны,4,3
02.03.2017,10:30,Волки ЛТУ,3,7
09.03.2017,10:30,Лисы,5,3
11.03.2017,22:15,Лисы,1,8
15.03.2017,10:15,Бончевские Тигры,5,0
16.03.2017,10:30,Бончевские Тигры,5,0
17.03.2017,21:15,Морские Волки,6,7
20.03.2017,20:00,Невские Львы,2,3
22.03.2017,10:15,Морские Волки,5,1
26.03.2017,08:15,Университет Лесгафта,1,14
30.03.2017,10:30,Северные Сапсаны,4,5
01.04.2017,07:30,Кронверкские Барсы,5,3
03.04.2017,20:00,Невские Львы,2,3
04.04.2017,10:30,Кронверкские Барсы,5,0
07.04.2017,07:45,Университет Лесгафта,4,2
10.04.2017,07:45,Волки ЛТУ,4,7
13.04.2017,10:30,Лисы,6,5
